bpm,genre,title,artist
123,DANCE POP,Dr.LOVE,baby weapon feat.Asuka.M
102,BIG BEAT,GAMBOL,SLAKE
157,RAVE,R3,tiger YAMATO
135,TECHNO,22DUNK,SLAKE
101,PIANO AMBIENT,5.1.1.,dj nagureo
150,EURO GROOVE,BRILLIANT 2U,NAOKI
126,DANCE POP,deep in you,dj nagureo
150,TRANCE,GENOM SCREAMS,L.E.D.LIGHT
132,DANCE POP,KEEP ON MOVIN',N.M.R.
125,TRIBAL HOUSE,Macho Gang,ANAL SPYDER
190,JUNGLE,PARANOIA MAX～DIRTY MIX～,190
168,FUTURE JAZZ,RUGGED ASH,SYMPHONIC DEFOGGERS
145,TRANCE,THE EARTH LIGHT,L.E.D.LIGHT
140,DISCO,Dancin' Into The Night,good-cool
155,MINIMAL,Digital MinD(A/T Libra mix),TaQ
125,BIG BEAT,Electro Tuned(the SubS mix),TaQ
155,GOA TRANCE,Indigo Vision(full flavour hide around mix),TaQ
125,ITALO HOUSE,I Was The One,good-cool
127,JAZZ FUNK,PUT YOUR FAITH IN ME(for beatmania II),dj TAKA feat. UZI-LAY
168,JUNGLE,SP-TRIP MACHINE(for beatmania II),dj TAKA feat. DE-SIRE
123-135,CHILL OUT,.59,dj TAKA
155,HYPER EUROBEAT,CAN'T STOP FALLIN'IN LOVE,NAOKI
130,HAPPY HANDBAG,Don't Stop!,dj TAKA feat. JP Miles
90-180,DRUM'N'BASS,era (nostalmix),TaQ
155,HARD TECHNO,Holic,TaQ
150,DIGI-ROCK,LEADING CYBER,dj TAKA
136,PIANO AMBIENT,Presto,Osamu Kubota
180,RAVE,R5,tigerYAMATO with ultrabeatbox
145,TRANCE,REINCARNATION,dj TAKA
125,BIG BEAT,Schlagwerk,TaQ
135,EPIC HOUSE,Skyscraper,good-cool
84,AMBIENT,Tangerine Stream,dj TAKA
150,WORLD HOUSE,THE SAFARI,Lion Musashi
60-144,EPIC TRANCE,ABSOLUTE,dj TAKA
155,SPEED RAVE,B4U,NAOKI
160,HYPER EUROBEAT,Broken My Heart,NAOKI feat.PAULA TERRY
155,EURO GROOVE,Burnin' The Floor,NAOKI
108-216,HIP HOP,CHECKING YOU OUT,good-cool feat. JP Miles
148,DUTCH TRANCE,Clione,kors k
148,TECHNO,DXY!,TaQ
90-180,DRUM'N'BASS,era (step mix),TaQ
70-93,AMBIENT,FLOWERS for ALBION,dj TAKA
132,DANCE POP,HIGHER,NM feat. Sunny
137,WARP HOUSE,Hitch Hiker2,good-cool
145,WARP HOUSE,Jam&Marmalade,FinalOffset
130,TECHNO,KAMIKAZE,dj nagureo
144,TRANCE,LOVE WILL・・・,riewo
141,MINIMAL,minimalian,DETROIAN
128,DANCE POP,Mr.T.(take me higher),Risky Men feat.Asuka-M
127,DANCE POP,Nasty!,Baby Weapon feat.Asuka M
182,HAPPY HARDCORE,starmine,Ryu☆
120,LOUNGE HOUSE,SWEET LAB,DJ SIMON
160,PARAPARA,ULTRA HIGH-HEELS,dj TAKA feat.ANGEL
30-125,BIG BEAT,Voltage (feat. Hidemaru),TaQ
250,GABBA,250bpm,AKIRA YAMAOKA
142,INTELLIGENCE,Abyss,dj TAKA
142,TRANCE,in my eyes,ric
150,HYPER EUROBEAT,LOVE AGAIN TONIGHT～for Mellisa mix～,NAOKI feat.PAULA TERRY
149,TECHNO,outer wall,sampling masters MEGA
155,TECHNO,QQQ,TaQ
114,BIG BEAT,Radical Faith,TaQ
200,DRUM'N'BASS,Real,Aya
120-128,INSTRUMENTAL,Regulus,DJ.W
180,POWER FUSION,RIDE ON THE LIGHT (HI GREAT MIX),Mr.T
130,NEW ROMANTIC,RISLIM,ric
130,HOUSE,Spin the disc,good-cool
150,HYPER EUROBEAT,STILL IN MY HEART,NAOKI
136,AMBIENT,still my words,TaQ feat. Meg
167,TRANCE,sync,OutPhase (TaQ/dj TAKA)
178,DRUM'N'BASS,THE CUBE,DJ SUWAMI
147,EPIC TRANCE,THE SHINING POLARIS,L.E.D. feat. Sana
150,PROGRESSIVE,V,TAKA
65,BALLAD,BALLAD FOR YOU～想いの雨～,NM feat.Thomas Howard
138,HOUSE,Blueberry Stream,dj TAKA
108,ROCK,Buffalo,good-cool feat. Hideo Suwa
150,TRANCE,Colors (radio edit),dj TAKA
155,HYPER TRANCE EURO BEAT,DIVE ～INTO YOUR HEART～,NAOKI feat.PAULA TERRY
140,TRANCE,fly through the night,Mr.T
132,DANCE POP,Free Style,Shapes
156,TRANCE,Frozen Ray (original mix),dj TAKA
170,DRUM'N'BASS,G2,Aya
160-176,LOUNGE POP,Linus,LEGO STUDIO
164,TECHNO,NEMESIS,D.J.SETUP
122,NOISY,route 80s,sampling masters MEGA
200,ROTTERDAM TECHNO,rottel-da-sun,sampling masters MEGA
150,EPIC TRANCE,SOMETHING WONDERFUL,L.E.D.
135,TRIP HOP,Summer Vacation(CU mix),OutPhase
205,INSTRUMENTAL,Take It Easy,Aya
128,SOUL,こっちを向いてよ,vivi
155,NU-NRG,電人イェーガーのテーマ(Theme of DENJIN J),L.E.D.
93-191,RENAISSANCE,A,D.J.Amuro
125,ALTERNATIVE HOUSE,AVE DE RAPINA,Shawn The Horny Master
130,FILTER HOUSE,Bad Routine,D.J. Spugna
166,12 BEAT,Burning Heat! (Full Option Mix),Mr.T with Motoaki.F
120,BIG BEAT,Cheer Train,Fuzita Blender
160,HYPER ROCK BEAT,D2R,NAOKI
155,HYPER EUROBEAT,DESTINY,NAOKI feat.Paula Terry
140,PROGRESSIVE JAZZ,foreplay,Osamu Kubota
40-83,HIP HOP&SOUL,Glorious Days,Noria
126,HOUSE,Happy Wedding,ASKA
155,EUROBEAT,Last Message,good-cool feat. Meg
130,AMBIENT POP,Let the Snow Paint Me,Sana
167,NEW WAVE,Love Me Do,AKIRA YAMAOKA
12-300,HARDCORE TECHNO,MAX 300,Ω
128,HOUSE,Spica,D.JW
155,TECHNO,stoic,TaQ
144,TRANCE,Tomorrow Perfume,dj TAKA
152,TRANCE,traces,TaQ
160,ELECTROSHOCK,ZERO-ONE,Mr.T
83-148,ORCHESTRAL,革命,dj TAKA with NAOKI
125,BIG BEAT,abstract,TaQ
40-148,INSTRUMENTAL,airflow,Mr.T
180,DRUM'N'BASS,ALL RIGHT,RAM
145,TRANCE,Attitude,Y&Co.
148,テクノ歌謡,bit mania,AKIRA YAMAOKA
155,EUROBEAT,Blame,good-cool feat. Jeff Coote
144,EURO GROOVE,CELEBRATE NITE,N.M.R
155,EUROBEAT,Colors -Y&Co. Eurobeat Remix-,dj TAKA (remixed by 横田商会)
131-140,GARAGE HOUSE,dual control,Mr.T
155,PSYCHEDELIC TECHNO,Giudecca,D.J.SETUP
140,GIRL ROCK,Halfway of promise,Yu Takami feat. Shihori Nakane
152,GOA TRANCE,HYPER BOUNDARY GATE,L.E.D.LIGHT
180,RAVE,LAB,RAM
180,HARD CHANSON,LOVE IS ORANGE,Orange Lounge
134,2 STEP,Luv 2 Feel Your Body,Shoichiro Hirata
188,BEAT ROCK,memories,TAKA
155,EUROBEAT,Monkey Dance,Y&Co.
174,CUDDLECORE,murmur twins,yu_tokiwa.djw
144,TECHNO,MUSIC TO YOUR HEAD,SLAKE
135,DISCO,PLEASE DON'T GO,ASLETICS
148,TRANCE,rainbow flyer,dj TAKA
148,TRANCE,STAR DREAM,PINK PONG
155,TECHNO,symbolic,TaQ
135,HOUSE,thunder,Lion MUSASHI
93,HIP HOP,WAR GAME,ASLETICS
